Graph NumThread Time
graphs/rmat-b.mtx 1 1.96325
graphs/rmat-b.mtx 2 1.406
graphs/rmat-b.mtx 4 0.916165
graphs/rmat-b.mtx 8 0.560404
graphs/rmat-b.mtx 16 0.484301
graphs/rmat-b.mtx 1 1.92609
graphs/rmat-b.mtx 2 1.38565
graphs/rmat-b.mtx 4 0.840199
graphs/rmat-b.mtx 8 0.647623
graphs/rmat-b.mtx 16 0.430935
graphs/rmat-b.mtx 1 1.96488
graphs/rmat-b.mtx 2 1.32339
graphs/rmat-b.mtx 4 0.876351
graphs/rmat-b.mtx 8 0.599782
graphs/rmat-b.mtx 16 0.461115
graphs/rmat-b.mtx 1 1.96033
graphs/rmat-b.mtx 2 1.30727
graphs/rmat-b.mtx 4 0.969675
graphs/rmat-b.mtx 8 0.645576
graphs/rmat-b.mtx 16 0.416286
graphs/rmat-b.mtx 1 1.93021
graphs/rmat-b.mtx 2 1.26557
graphs/rmat-b.mtx 4 0.957603
graphs/rmat-b.mtx 8 0.643819
graphs/rmat-b.mtx 16 0.395958
graphs/rmat-b.mtx 1 1.96628
graphs/rmat-b.mtx 2 1.42878
graphs/rmat-b.mtx 4 0.913919
graphs/rmat-b.mtx 8 0.508046
graphs/rmat-b.mtx 16 0.444669
graphs/rmat-b.mtx 1 1.93857
graphs/rmat-b.mtx 2 1.31346
graphs/rmat-b.mtx 4 0.812827
graphs/rmat-b.mtx 8 0.646459
graphs/rmat-b.mtx 16 0.497937
graphs/rmat-b.mtx 1 1.93671
graphs/rmat-b.mtx 2 1.24848
graphs/rmat-b.mtx 4 0.83084
graphs/rmat-b.mtx 8 0.49224
graphs/rmat-b.mtx 16 0.491096
graphs/rmat-b.mtx 1 1.93805
graphs/rmat-b.mtx 2 1.29579
graphs/rmat-b.mtx 4 0.817309
graphs/rmat-b.mtx 8 0.518803
graphs/rmat-b.mtx 16 0.440462
graphs/rmat-b.mtx 1 1.97027
graphs/rmat-b.mtx 2 1.27379
graphs/rmat-b.mtx 4 0.907109
graphs/rmat-b.mtx 8 0.532259
graphs/rmat-b.mtx 16 0.430403
graphs/rmat-b.mtx 1 1.93588
graphs/rmat-b.mtx 2 1.29723
graphs/rmat-b.mtx 4 0.809053
graphs/rmat-b.mtx 8 0.572215
graphs/rmat-b.mtx 16 0.44909
graphs/rmat-b.mtx 1 1.93322
graphs/rmat-b.mtx 2 1.27581
graphs/rmat-b.mtx 4 0.818524
graphs/rmat-b.mtx 8 0.567047
graphs/rmat-b.mtx 16 0.45409
graphs/rmat-b.mtx 1 1.93221
graphs/rmat-b.mtx 2 1.31924
graphs/rmat-b.mtx 4 0.840734
graphs/rmat-b.mtx 8 0.481116
graphs/rmat-b.mtx 16 0.470336
graphs/rmat-b.mtx 1 1.96895
graphs/rmat-b.mtx 2 1.39866
graphs/rmat-b.mtx 4 0.906139
graphs/rmat-b.mtx 8 0.542711
graphs/rmat-b.mtx 16 0.467156
graphs/rmat-b.mtx 1 1.93465
graphs/rmat-b.mtx 2 1.31622
graphs/rmat-b.mtx 4 0.830542
graphs/rmat-b.mtx 8 0.534595
graphs/rmat-b.mtx 16 0.46074
graphs/rmat-b.mtx 1 1.93247
graphs/rmat-b.mtx 2 1.24598
graphs/rmat-b.mtx 4 0.82022
graphs/rmat-b.mtx 8 0.535173
graphs/rmat-b.mtx 16 0.421715
graphs/rmat-b.mtx 1 1.93231
graphs/rmat-b.mtx 2 1.25759
graphs/rmat-b.mtx 4 0.858739
graphs/rmat-b.mtx 8 0.618794
graphs/rmat-b.mtx 16 0.464181
graphs/rmat-b.mtx 1 1.94873
graphs/rmat-b.mtx 2 1.36137
graphs/rmat-b.mtx 4 0.873574
graphs/rmat-b.mtx 8 0.598523
graphs/rmat-b.mtx 16 0.482175
graphs/rmat-b.mtx 1 2.03715
graphs/rmat-b.mtx 2 1.19528
graphs/rmat-b.mtx 4 0.754625
graphs/rmat-b.mtx 8 0.524863
graphs/rmat-b.mtx 16 0.48325
graphs/rmat-b.mtx 1 1.93565
graphs/rmat-b.mtx 2 1.29866
graphs/rmat-b.mtx 4 0.920155
graphs/rmat-b.mtx 8 0.539535
graphs/rmat-b.mtx 16 0.516764
graphs/rmat-b.mtx 1 1.92557
graphs/rmat-b.mtx 2 1.34272
graphs/rmat-b.mtx 4 0.884924
graphs/rmat-b.mtx 8 0.563308
graphs/rmat-b.mtx 16 0.527259
graphs/rmat-b.mtx 1 1.9499
graphs/rmat-b.mtx 2 1.42943
graphs/rmat-b.mtx 4 0.834239
graphs/rmat-b.mtx 8 0.534807
graphs/rmat-b.mtx 16 0.457193
graphs/rmat-er.mtx 1 1.056
graphs/rmat-er.mtx 2 0.977766
graphs/rmat-er.mtx 4 0.404928
graphs/rmat-er.mtx 8 0.314345
graphs/rmat-er.mtx 16 0.240607
graphs/rmat-er.mtx 1 1.05684
graphs/rmat-er.mtx 2 0.856321
graphs/rmat-er.mtx 4 0.472265
graphs/rmat-er.mtx 8 0.253007
graphs/rmat-er.mtx 16 0.197831
graphs/rmat-er.mtx 1 1.05384
graphs/rmat-er.mtx 2 0.728986
graphs/rmat-er.mtx 4 0.485678
graphs/rmat-er.mtx 8 0.307458
graphs/rmat-er.mtx 16 0.250169
graphs/rmat-er.mtx 1 1.06011
graphs/rmat-er.mtx 2 0.773829
graphs/rmat-er.mtx 4 0.529463
graphs/rmat-er.mtx 8 0.25445
graphs/rmat-er.mtx 16 0.204767
graphs/rmat-er.mtx 1 1.06053
graphs/rmat-er.mtx 2 0.922534
graphs/rmat-er.mtx 4 0.529147
graphs/rmat-er.mtx 8 0.261994
graphs/rmat-er.mtx 16 0.21232
graphs/rmat-er.mtx 1 1.05674
graphs/rmat-er.mtx 2 0.972944
graphs/rmat-er.mtx 4 0.539626
graphs/rmat-er.mtx 8 0.313815
graphs/rmat-er.mtx 16 0.280883
graphs/rmat-er.mtx 1 1.05631
graphs/rmat-er.mtx 2 0.67094
graphs/rmat-er.mtx 4 0.536399
graphs/rmat-er.mtx 8 0.314311
graphs/rmat-er.mtx 16 0.253329
graphs/rmat-er.mtx 1 1.05786
graphs/rmat-er.mtx 2 0.749591
graphs/rmat-er.mtx 4 0.542246
graphs/rmat-er.mtx 8 0.300216
graphs/rmat-er.mtx 16 0.260659
graphs/rmat-er.mtx 1 1.05485
graphs/rmat-er.mtx 2 0.888339
graphs/rmat-er.mtx 4 0.496673
graphs/rmat-er.mtx 8 0.307734
graphs/rmat-er.mtx 16 0.187294
graphs/rmat-er.mtx 1 1.05909
graphs/rmat-er.mtx 2 0.923151
graphs/rmat-er.mtx 4 0.54168
graphs/rmat-er.mtx 8 0.308069
graphs/rmat-er.mtx 16 0.245108
graphs/rmat-er.mtx 1 1.05378
graphs/rmat-er.mtx 2 0.64363
graphs/rmat-er.mtx 4 0.524817
graphs/rmat-er.mtx 8 0.313587
graphs/rmat-er.mtx 16 0.204141
graphs/rmat-er.mtx 1 1.05436
graphs/rmat-er.mtx 2 0.927845
graphs/rmat-er.mtx 4 0.541002
graphs/rmat-er.mtx 8 0.26833
graphs/rmat-er.mtx 16 0.249477
graphs/rmat-er.mtx 1 1.058
graphs/rmat-er.mtx 2 0.738724
graphs/rmat-er.mtx 4 0.465383
graphs/rmat-er.mtx 8 0.282579
graphs/rmat-er.mtx 16 0.249711
graphs/rmat-er.mtx 1 1.05634
graphs/rmat-er.mtx 2 0.879361
graphs/rmat-er.mtx 4 0.4087
graphs/rmat-er.mtx 8 0.287613
graphs/rmat-er.mtx 16 0.187332
graphs/rmat-er.mtx 1 1.07129
graphs/rmat-er.mtx 2 0.764039
graphs/rmat-er.mtx 4 0.495899
graphs/rmat-er.mtx 8 0.307846
graphs/rmat-er.mtx 16 0.211232
graphs/rmat-er.mtx 1 1.06452
graphs/rmat-er.mtx 2 0.888776
graphs/rmat-er.mtx 4 0.5354
graphs/rmat-er.mtx 8 0.252202
graphs/rmat-er.mtx 16 0.270702
graphs/rmat-er.mtx 1 1.05815
graphs/rmat-er.mtx 2 0.88994
graphs/rmat-er.mtx 4 0.538021
graphs/rmat-er.mtx 8 0.304201
graphs/rmat-er.mtx 16 0.187891
graphs/rmat-er.mtx 1 1.15167
graphs/rmat-er.mtx 2 0.639518
graphs/rmat-er.mtx 4 0.410165
graphs/rmat-er.mtx 8 0.284096
graphs/rmat-er.mtx 16 0.220326
graphs/rmat-er.mtx 1 1.05541
graphs/rmat-er.mtx 2 0.962462
graphs/rmat-er.mtx 4 0.538196
graphs/rmat-er.mtx 8 0.307581
graphs/rmat-er.mtx 16 0.20139
graphs/rmat-er.mtx 1 1.05453
graphs/rmat-er.mtx 2 0.649997
graphs/rmat-er.mtx 4 0.432267
graphs/rmat-er.mtx 8 0.285652
graphs/rmat-er.mtx 16 0.268422
graphs/rmat-er.mtx 1 1.055
graphs/rmat-er.mtx 2 0.651183
graphs/rmat-er.mtx 4 0.534964
graphs/rmat-er.mtx 8 0.308093
graphs/rmat-er.mtx 16 0.260493
graphs/rmat-er.mtx 1 1.05496
graphs/rmat-er.mtx 2 0.984035
graphs/rmat-er.mtx 4 0.435296
graphs/rmat-er.mtx 8 0.312348
graphs/rmat-er.mtx 16 0.199914
graphs/rmat-er.mtx 1 1.05188
graphs/rmat-er.mtx 2 0.883
graphs/rmat-er.mtx 4 0.457812
graphs/rmat-er.mtx 8 0.289771
graphs/rmat-er.mtx 16 0.198444
graphs/rmat-er.mtx 1 1.05454
graphs/rmat-er.mtx 2 0.843178
